Id,Label,Type,Glass,Origin_State,Origin_Country,Interest_Rating,Average_Time,Taste_Profile,CommunityID
dorian gray,dorian gray,Cocktail,Martini glass,,Ireland,,5.0,dry,5
dreamsicle,dreamsicle,Cocktail,Coupe glass,,,,5.0,coffee,0
east indian,east indian,Cocktail,Martini glass,,,,5.0,malty,3
espresso martini,espresso martini,Cocktail,Martini glass,England,United Kingdom,,5.0,spirity,0
first of july,first of july,Cocktail,Martini glass,,,,5.0,fresh,5
grand sazerac,grand sazerac,Cocktail,Old-fashioned glass,,,,5.0,zesty,3
grapefruit daiquiri no.1,grapefruit daiquiri no.1,Cocktail,Coupe glass,,,,5.0,dry,5
hemingway,hemingway,Cocktail,Flute glass,,Italy,,5.0,dry,1
income tax cocktail,income tax cocktail,Cocktail,Martini glass,,,,5.0,dry,3
jules delight,jules delight,Cocktail,Coupe glass,,,,5.0,spirity,1
malcolm lowry,malcolm lowry,Cocktail,Old-fashioned glass,,United Kingdom,,5.0,earthy,5
marmarita,marmarita,Cocktail,Coupe glass,,,,5.0,earthy,5
monarch martini,monarch martini,Cocktail,Martini glass,,,,5.0,dry,1
opal,opal,Cocktail,Coupe glass,,,,5.0,dry,5
park avenue,park avenue,Cocktail,Martini glass,,,,5.0,dry,3
pimm's cocktail,pimm's cocktail,Cocktail,Coupe glass,England,United Kingdom,,5.0,fruity,1
pimm's cup (or classic pimm's),pimm's cup (or classic pimm's),Cocktail,Collins glass,England,United Kingdom,,5.0,spicy,1
pimm's royale,pimm's royale,Cocktail,Flute glass,England,United Kingdom,,5.0,dry,1
quarterback,quarterback,Cocktail,Martini glass,,United States,,5.0,sweet,0
rosarita margarita,rosarita margarita,Cocktail,Coupe glass,,,,5.0,earthy,5
sage cocktail,sage cocktail,Cocktail,Martini glass,New York,United States,,5.0,spirity,1
smoky martini,smoky martini,Cocktail,Martini glass,,Ireland,,5.0,dry,3
southern cider,southern cider,Cocktail,Martini glass,,,,5.0,sweet,5
seelbach,seelbach,Cocktail,Flute glass,Kentucky,United States,,5.0,vanilla,3
snowfall cocktail,snowfall cocktail,Cocktail,Martini glass,,,,5.0,vanilla,0
strudel martini,strudel martini,Cocktail,Martini glass,,Germany,,5.0,creamy,1
trilby no.1,trilby no.1,Cocktail,Martini glass,,,,5.0,dry,3
white cosmo,white cosmo,Cocktail,Martini glass,,,,5.0,tangy,5
larchmont,larchmont,Cocktail,Coupe glass,Central Luzon,Philippines,,5.0,dry,3
negroski,negroski,Cocktail,Old-fashioned glass,Tuscany,Italy,,5.0,spirity,3
apple martini (with apple schnapps),apple martini (with apple schnapps),Cocktail,Coupe glass,California,United States,,5.0,tarty,1
comet cocktail,comet cocktail,Cocktail,Coupe glass,Illinois,United States,,5.0,aromatic,3
maya margarita,maya margarita,Cocktail,Coupe glass,,,,5.0,smokey,5
smoky old bastard,smoky old bastard,Cocktail,Old-fashioned glass,New York,United States,,5.0,earthy,3
blue lassi,blue lassi,Cocktail,Coupe glass,,,,5.0,spirity,1
maid in cuba,maid in cuba,Cocktail,Coupe glass,,Cuba,,5.0,dry,1
trinidad especial,trinidad especial,Cocktail,Coupe glass,Apulia,Italy,,5.0,citrusy,5
watermelon margarita,watermelon margarita,Cocktail,Coupe glass,,Spain,,5.0,earthy,5
thuir sour,thuir sour,Cocktail,Coupe glass,,,,5.0,malty,1
pearl button,pearl button,Cocktail,Collins glass,,Brazil,,5.0,watery,1
weeski cocktail,weeski cocktail,Cocktail,Coupe glass,,Ireland,,5.0,whisky,3
family and friends barrel sling,family and friends barrel sling,Cocktail,Sling glass,,,,5.0,dry,3
hot cherry,hot cherry,Cocktail,Cup,,,,5.0,malty,3
the affiliate,the affiliate,Cocktail,Old-fashioned glass,,,,5.0,rummy,3
sazeroy,sazeroy,Cocktail,Coupe glass,,,,5.0,aromatic,3
suit & tai,suit & tai,Cocktail,Old-fashioned glass,,,,5.0,aromatic,5
heard it through the grapevine,heard it through the grapevine,Cocktail,Coupe glass,,United States,,5.0,aromatic,3
the golden sakura,the golden sakura,Cocktail,Coupe glass,,,,5.0,cinnamon,3
cherry heaven,cherry heaven,Cocktail,Coupe glass,,,,5.0,dry,1
come and see me,come and see me,Cocktail,Coupe glass,,,,5.0,creamy,3
secret clover,secret clover,Cocktail,Coupe glass,,,,5.0,dry,1
hotel georgia cocktail,hotel georgia cocktail,Cocktail,Coupe glass,British Columbia,Canada,,5.0,dry,1
rabo-de-galo,rabo-de-galo,Cocktail,Old-fashioned glass,,Brazil,,5.0,watery,3
welcome home,welcome home,Cocktail,Coupe glass,Georgia,United States,,5.0,dry,5
visionario,visionario,Cocktail,Coupe glass,,,,5.0,old,6
father’s advice,father’s advice,Cocktail,Coupe glass,,,,5.0,old,3
jack rising,jack rising,Cocktail,Nick & Nora glass,Scotland,United Kingdom,,5.0,whisky,6
doremi,doremi,Cocktail,Coupe glass,Vilnius County,Lithuania,,5.0,dry,1
the spirit of rock,the spirit of rock,Cocktail,Collins glass,,,,5.0,bitter,1
winter punch,winter punch,Cocktail,Coupe glass,,France,,5.0,vanilla,5
coffee negroni,coffee negroni,Cocktail,Old-fashioned glass,,United States,,5.0,dry,3
tropical lady,tropical lady,Cocktail,Martini glass,Hawaii,United States,,5.0,old,3
electric avenue,electric avenue,Cocktail,Highball (max 10oz/300ml),Alberta,Canada,,5.0,old,5
the alchemist,the alchemist,Cocktail,Coupe glass,England,United Kingdom,,5.0,peppery,5
hug from mary,hug from mary,Cocktail,Nick & Nora glass,,,,5.0,old,3
scottish apple snap,scottish apple snap,Cocktail,Collins glass,,,,5.0,floral,6
colorunn,colorunn,Cocktail,Coupe glass,,,,5.0,floral,6
dastardly,dastardly,Cocktail,Coupe glass,,,,5.0,floral,6
ghàidhealtachd,ghàidhealtachd,Cocktail,Old-fashioned glass,,,,5.0,tarty,1
lis avi,lis avi,Cocktail,Coupe glass,,,,5.0,malty,3
black hotel,black hotel,Cocktail,Coupe glass,,,,5.0,sweet,0
strawberry margarita (frozen),strawberry margarita (frozen),Cocktail,Coupe glass,State of Mexico,Mexico,,5.0,earthy,5
rosmarino,rosmarino,Cocktail,Old-fashioned glass,Lazio,Italy,,5.0,sweet,1
aviación,aviación,Cocktail,Coupe glass,,,,5.0,smokey,1
the field marshal,the field marshal,Cocktail,Coupe glass,Bar Municipality,Montenegro,,5.0,racy,1
glasgow kiss,glasgow kiss,Cocktail,Collins glass,,Scotland,,5.0,grassy,1
spicy mai tai,spicy mai tai,Cocktail,Pineapple shell (frozen) glass,,,,5.0,fruity,5
pear heer,pear heer,Cocktail,Coupe glass,,,,5.0,tangy,1
the seven c's,the seven c's,Cocktail,Double old-fashioned,,,,5.0,dry,0
grapefruit slaiquiri,grapefruit slaiquiri,Cocktail,Coupe glass,,,,5.0,tarty,5
banana daiquiri (shaken),banana daiquiri (shaken),Cocktail,Coupe glass,,São Tomé and Príncipe,,5.0,rummy,5
limoncello iced tea,limoncello iced tea,Cocktail,Collins glass,,Italy,,5.0,old,1
andrew's the barman's italian job cocktail,andrew's the barman's italian job cocktail,Cocktail,Nick & Nora glass,,Italy,,5.0,vanilla,3
campari spritz,campari spritz,Cocktail,Wine glass,,,,5.0,floral,1
modern aviation,modern aviation,Cocktail,Martini (small) glass,,,,5.0,aromatic,4
el floridita,el floridita,Cocktail,Coupe glass,,Spain,,5.0,old,4
chambord spritz,chambord spritz,Cocktail,Rocks glass,,,,5.0,floral,4
suffering september,suffering september,Cocktail,Rocks glass,,,,5.0,tarty,1
the jacobean,the jacobean,Cocktail,Coupe glass,,France,,5.0,whiskey,4
stargazer,stargazer,Cocktail,Rocks glass,North Rhine-Westphalia,Germany,,5.0,floral,4
crying merchant,crying merchant,Cocktail,Martini glass,,,,5.0,sweet,0
consonance,consonance,Cocktail,Nick & Nora glass,,,,5.0,bitter,4
boozy lillet,boozy lillet,Cocktail,Coupe glass,,,,5.0,spirity,4
huismus,huismus,Cocktail,Collins glass,,Europe,,5.0,bitter,1
improved aviation,improved aviation,Cocktail,Coupe glass,,Japan,,5.0,soft,1
gary's chocolate negroni,gary's chocolate negroni,Cocktail,Old-fashioned glass,,,,5.0,aromatic,3
espresso rumtini,espresso rumtini,Cocktail,Coupe glass,,,,5.0,old,0
alex & rick's espresso,alex & rick's espresso,Cocktail,Old-fashioned glass,,,,5.0,coffee,0
cherry zombie (mild version),cherry zombie (mild version),Cocktail,Old-fashioned glass,,,,5.0,rummy,4
espresso fruitini,espresso fruitini,Cocktail,Martini (large 10oz) glass,,,,5.0,sweet,0
vermont sour,vermont sour,Cocktail,Old-fashioned glass,,,,5.0,malty,4
mediterranean cooler,mediterranean cooler,Cocktail,Copa glass,,Italy,,5.0,bitter,1
c³ copy of a copy of a copy,c³ copy of a copy of a copy,Cocktail,Collins or Pineapple shell glass,,,,5.0,smokey,4
mirto negroni,mirto negroni,Cocktail,Old-fashioned glass,,Italy,,5.0,herby,4
gin and thyme,gin and thyme,Cocktail,Absinthe glass or old-fashioned glass,,,,5.0,floral,4
sherbet lemon,sherbet lemon,Cocktail,Collins glass,,,,5.0,tarty,1
christmas vesper,christmas vesper,Cocktail,Martini glass,,,,5.0,nutty,4
black forest negroni,black forest negroni,Cocktail,Double old-fashioned,,,,5.0,dry,3
gin quarantini,gin quarantini,Cocktail,Coupe glass,,,,5.0,dry,3
cat 3 rum runner,cat 3 rum runner,Cocktail,Hurricane glass,,,,5.0,Unknown,4
ryugu sazerac,ryugu sazerac,Cocktail,Rocks glass,,,,5.0,old,4
mediterranean gin & tonic,mediterranean gin & tonic,Cocktail,Copa glass,,United Kingdom,,5.0,sweet,4
spiced sherry fizz,spiced sherry fizz,Cocktail,Martini glass,,,,5.0,dry,3
chambord royal,chambord royal,Cocktail,Flute glass,Metropolitan France,France,,5.0,dry,1
fredrik's twist on aviation cocktail (difford's recipe),fredrik's twist on aviation cocktail (difford's recipe),Cocktail,Coupe glass,,,,5.0,aromatic,4
santos's stubborness,santos's stubborness,Cocktail,Coupe glass,,,,5.0,gingery,4
rockin' red killer,rockin' red killer,Cocktail,Rocks glass,,,,5.0,aromatic,4
spiced espresso martini,spiced espresso martini,Cocktail,Martini glass,,,,5.0,sweet,0
joespresso,joespresso,Cocktail,Jam jar glass,,,,5.0,sweet,0
greek spritz,greek spritz,Cocktail,Large wine glass,,,,5.0,sweet,1
backstabber,backstabber,Cocktail,Old-fashioned glass,,,,5.0,dry,3
jon's after supper,jon's after supper,Cocktail,Coupe glass,,,,5.0,zesty,4
southern rock,southern rock,Cocktail,Pint glass,,,,5.0,tangy,4
rebecca's hotel georgia cocktail,rebecca's hotel georgia cocktail,Cocktail,Coupe glass,,,,5.0,old,1
pradeep's aviation cocktail (difford's recipe),pradeep's aviation cocktail (difford's recipe),Cocktail,Coupe glass,,,,5.0,aromatic,1
passage brandy,passage brandy,Cocktail,Rocks glass,,,,5.0,peppery,4
ms midori,ms midori,Cocktail,Martini glass,,,,5.0,sweet,4
rose,rose,Cocktail,Coupe glass,Metropolitan France,France,,5.0,oily,1
trotting fox,trotting fox,Cocktail,Old-fashioned glass,,United States,,5.0,rich,4
kaitlyn's grapefruit julep,kaitlyn's grapefruit julep,Cocktail,Collins glass,,,,5.0,floral,1
lucky tomato,lucky tomato,Cocktail,Martini (small) glass,,,,5.0,malty,1
silky sunset,silky sunset,Cocktail,Large wine glass,,,,5.0,nutty,0
pink spritz,pink spritz,Cocktail,Wine glass,,,,5.0,sour,1
benjamin's royal aviation cocktail,benjamin's royal aviation cocktail,Cocktail,Coupe glass,,,,5.0,aromatic,1
nola pimm's cup,nola pimm's cup,Cocktail,Highball (max 10oz/300ml),,,,5.0,bitter,4
texas margarita,texas margarita,Cocktail,Old-fashioned glass,,,,5.0,sweet,5
denise's espresso martini,denise's espresso martini,Cocktail,Martini glass,,,,5.0,spirity,0
aviation cocktail,aviation cocktail,Cocktail,Martini glass,Subcarpathian Voivodeship,Poland,,5.0,fragrant,1
rhubarb wire,rhubarb wire,Cocktail,Nick & Nora glass,,,,5.0,old,4
white gold,white gold,Cocktail,Highball (max 10oz/300ml),,,,5.0,tangy,5
re55,re55,Cocktail,Coupe glass,,,,5.0,Unknown,4
caribbean sunset,caribbean sunset,Cocktail,Highball (max 10oz/300ml),,,,5.0,aromatic,5
passion,passion,Cocktail,Highball (max 10oz/300ml),England,United Kingdom,,5.0,tangy,5
nathan's sazerac,nathan's sazerac,Cocktail,Rocks glass,,,,5.0,malty,4
mango daiquiri frozen,mango daiquiri frozen,Cocktail,Coupe glass,,,,5.0,fruity,5
fabian's sazerac cocktail (new orleans style),fabian's sazerac cocktail (new orleans style),Cocktail,Rocks glass,,,,5.0,malty,3
leading lady,leading lady,Cocktail,Coupe glass,,,,5.0,sweet,4
edmund's aviation cocktail,edmund's aviation cocktail,Cocktail,Coupe glass,England,United Kingdom,,5.0,floral,1
gordon's three miler,gordon's three miler,Cocktail,Martini glass,,,,5.0,dry,4
f.g.p. (filthy green puritan),f.g.p. (filthy green puritan),Cocktail,Martini (large 10oz) glass,,,,5.0,aromatic,4
hemingway daquiri,hemingway daquiri,Cocktail,Nick & Nora glass,,,,5.0,old,5
a midsummer's night's sazerac,a midsummer's night's sazerac,Cocktail,Absinthe glass or old-fashioned glass,,Barbados,,5.0,earthy,4
river city melon,river city melon,Cocktail,Martini glass,,,,5.0,watery,1
pimm's coupe,pimm's coupe,Cocktail,Coupe glass,,,,5.0,sour,1
david's mai tai cocktail,david's mai tai cocktail,Cocktail,Double old-fashioned,,,,5.0,Unknown,4
michael's mai tai (trader vic's) cocktail,michael's mai tai (trader vic's) cocktail,Cocktail,Double old-fashioned,,,,5.0,tropical,5
bourbon back nine,bourbon back nine,Cocktail,Old-fashioned glass,,,,5.0,earthy,1
harry oleson's aviation cocktail (difford's recipe),harry oleson's aviation cocktail (difford's recipe),Cocktail,Coupe glass,,,,5.0,aromatic,4
irmina's blood and sand (difford's recipe),irmina's blood and sand (difford's recipe),Cocktail,Coupe glass,,,,5.0,whiskey,4
alexandr's clover club,alexandr's clover club,Cocktail,Coupe glass,,,,5.0,aromatic,1
summer pirate,summer pirate,Cocktail,Rocks glass,,,,5.0,vanilla,4
stephan's midnight stinger,stephan's midnight stinger,Cocktail,Old-fashioned glass,,,,5.0,vanilla,1
trinidadi issues,trinidadi issues,Cocktail,Tiki mug or collins,,,,5.0,citrusy,5
last of the oaxacans,last of the oaxacans,Cocktail,Coupe glass,,,,5.0,peppery,3
haus espresso,haus espresso,Cocktail,Martini (large 10oz) glass,,,,5.0,rummy,0
session margarita,session margarita,Cocktail,Rocks glass,,,,5.0,sharp,5
'a clockwork orange' negroni,'a clockwork orange' negroni,Cocktail,Coupe glass,,,,5.0,fruity,4
caprera,caprera,Cocktail,Wine glass,,Italy,,5.0,tarty,1
whiskey sour (no added sugar & low-calorie),whiskey sour (no added sugar & low-calorie),Cocktail,Old-fashioned glass,Wisconsin,United States,4.54,4.8,vanilla,1
gimlet (no added sugar & low-calorie),gimlet (no added sugar & low-calorie),Cocktail,Coupe glass,,France,4.83,4.75,dry,1
eclipse,eclipse,Cocktail,Collins glass,New York,United States,4.67,4.75,sweet,5
the lone ranger,the lone ranger,Cocktail,Collins glass,,France,4.58,4.75,dry,1
honeyed cherry mash sour,honeyed cherry mash sour,Cocktail,Old-fashioned glass,,,4.55,4.75,honey,4
honeymoon,honeymoon,Cocktail,Coupe glass,Subcarpathian Voivodeship,Poland,4.5,4.75,fresh,1
eastside gimlet,eastside gimlet,Cocktail,Coupe glass,,,4.5,4.75,dry,1
blackberry mint margarita julep,blackberry mint margarita julep,Cocktail,Julep tin,,,4.5,4.75,earthy,5
valencia martini,valencia martini,Cocktail,Martini glass,,,4.4,4.75,dry,3
polish pear martini,polish pear martini,Cocktail,Martini glass,,Poland,4.08,4.75,spirity,1
melon ball,melon ball,Cocktail,Collins glass,,France,4.83,4.67,spirity,5
pink witch,pink witch,Cocktail,Collins glass,,,4.75,4.67,tarty,3
blackberry martini test,blackberry martini test,Cocktail,Coupe glass,,,4.75,4.67,aromatic,1
better friend,better friend,Cocktail,Collins glass,,,4.75,4.67,aromatic,4
don daisy,don daisy,Cocktail,Coupe glass,,,4.67,4.67,dry,1
the mulberry,the mulberry,Cocktail,Old-fashioned glass,,,4.66,4.67,dry,1
clover club (difford's recipe),clover club (difford's recipe),Cocktail,Coupe glass,Pennsylvania,United States,4.57,4.67,dry,1
jaded lady,jaded lady,Cocktail,Martini glass,,Netherlands,4.5,4.67,dry,3
leap year cocktail,leap year cocktail,Cocktail,Coupe glass,England,United Kingdom,4.5,4.67,dry,3
major bailey no.1,major bailey no.1,Cocktail,Sling glass,,,4.5,4.67,dry,1
alcatraz,alcatraz,Cocktail,Old-fashioned glass,England,United Kingdom,4.5,4.67,earthy,3
arancia spritz,arancia spritz,Cocktail,Wine glass,,Germany,4.5,4.67,floral,3
peach 'martini',peach 'martini',Cocktail,Coupe glass,,Germany,4.5,4.67,vanilla,1
green ghost,green ghost,Cocktail,Nick & Nora glass,San Juan,Argentina,4.5,4.67,dry,3
irmina's lotus espresso,irmina's lotus espresso,Cocktail,Martini glass,,,4.5,4.67,old,0
sascha's rhode island red,sascha's rhode island red,Cocktail,Collins glass,,,4.5,4.67,mellow,4
three lions (on the shirt),three lions (on the shirt),Cocktail,Nick & Nora glass,,,4.5,4.67,dry,3
cannonball,cannonball,Cocktail,Cantaritos clay pot or Collins glass,Sulawesi,Indonesia,4.3,4.67,peppery,5
havana special,havana special,Cocktail,Coupe glass,,,4.27,4.67,old,5
waterlily,waterlily,Cocktail,Coupe glass,Kentucky,United States,4.25,4.67,dry,1
grateful dead,grateful dead,Cocktail,Sling glass,,,4.15,4.67,tangy,5
jade orange,jade orange,Cocktail,Coupe glass,,,4.13,4.67,tangy,5
sunshine cocktail no.1,sunshine cocktail no.1,Cocktail,Coupe glass,,,4.05,4.67,old,5
sunshine cocktail no.2,sunshine cocktail no.2,Cocktail,Martini glass,,,4.05,4.67,dry,1
casablanca,casablanca,Cocktail,Coupe glass,,France,4.0,4.67,dry,5
peter's the symphony,peter's the symphony,Cocktail,Coupe glass,,,4.0,4.67,aromatic,3
tongue twister,tongue twister,Cocktail,Old-fashioned glass,,Italy,3.93,4.67,pineapple,5
entente cordiale cocktail,entente cordiale cocktail,Cocktail,Coupe glass,,France,3.73,4.67,dry,3
green fizz,green fizz,Cocktail,Collins glass,,,3.6,4.67,dry,1
strawberry swizzle,strawberry swizzle,Cocktail,Sling glass,,,3.5,4.67,tangy,3
blonde brut,blonde brut,Cocktail,Flute glass,,,4.7,4.6,dry,1
sunset (coconut rum) 'martini',sunset (coconut rum) 'martini',Cocktail,Martini glass,,,4.62,4.6,pineapple,5
mitch's monk's habit,mitch's monk's habit,Cocktail,Collins glass,,,4.0,4.6,pineapple,4
terry shiki,terry shiki,Cocktail,Highball (max 10oz/300ml),,,,4.5,nutty,5
barbary coast,barbary coast,Cocktail,Coupe glass,Virginia,United States,5.0,4.5,dry,0
beach iced tea,beach iced tea,Cocktail,Sling glass,Thuringia,Germany,5.0,4.5,tangy,5
french 76,french 76,Cocktail,Flute glass,,France,5.0,4.5,spirity,1
rat pack manhattan,rat pack manhattan,Cocktail,Martini glass,,,5.0,4.5,vanilla,3
cognac julep,cognac julep,Cocktail,Julep tin,,,5.0,4.5,aromatic,1
el presidente (sloppy joe's),el presidente (sloppy joe's),Cocktail,Coupe glass,,France,5.0,4.5,old,5
witches' daiquiri,witches' daiquiri,Cocktail,Coupe glass,,,5.0,4.5,old,5
alpine negroni,alpine negroni,Cocktail,Old-fashioned glass,,United States,5.0,4.5,dry,3
john's honeysuckle,john's honeysuckle,Cocktail,Coupe glass,,,5.0,4.5,rummy,1
alex's east india no.2,alex's east india no.2,Cocktail,Coupe glass,,,5.0,4.5,oaky,4
flying frenchman (absinthe espresso martini),flying frenchman (absinthe espresso martini),Cocktail,Coupe glass,,France,4.9,4.5,sweet,0
mexican martini (añejo margarita),mexican martini (añejo margarita),Cocktail,Martini glass,,Mexico,4.83,4.5,earthy,5
adios,adios,Cocktail,Shot glass,Indiana,United States,4.75,4.5,coffee,0
lemonhead,lemonhead,Cocktail,Martini glass,,,4.75,4.5,spirity,1
juliet & romeo,juliet & romeo,Cocktail,Coupe glass,Illinois,United States,4.75,4.5,dry,1
patrick's smoky maple,patrick's smoky maple,Cocktail,Sour or Martini/Coupette glass,,,4.75,4.5,malty,3
espresso martiki,espresso martiki,Cocktail,Coupe glass,,,4.75,4.5,pineapple,5
new york minute,new york minute,Cocktail,Coupe glass,Quebec,Canada,4.7,4.5,earthy,3
david's new york minute,david's new york minute,Cocktail,Coupe glass,,,4.7,4.5,sweet,4
vodka quarantini,vodka quarantini,Cocktail,Martini glass,,,4.67,4.5,spirity,1
south side rickey,south side rickey,Cocktail,Collins glass,,,4.65,4.5,dry,1
raspberry frangipane spritz,raspberry frangipane spritz,Cocktail,Old-fashioned glass,,Germany,4.63,4.5,floral,0
elderflower champagne cocktail,elderflower champagne cocktail,Cocktail,Flute glass,Ontario,Canada,4.63,4.5,dry,1
whiskey sour (difford's recipe),whiskey sour (difford's recipe),Cocktail,Old-fashioned glass,Wisconsin,United States,4.6,4.5,vanilla,1
hawaiian stone sour,hawaiian stone sour,Cocktail,Old-fashioned glass,Hawaii,United States,4.6,4.5,vanilla,1
watermelon caipirinha,watermelon caipirinha,Cocktail,Highball (max 10oz/300ml),,Brazil,4.6,4.5,bitter,1
three dots and a dash,three dots and a dash,Cocktail,Tiki mug or collins,Alaska,United States,4.6,4.5,caramel,5
speyside single malt old fashioned,speyside single malt old fashioned,Cocktail,Old-fashioned glass,,,4.6,4.5,malty,3
closing ceremonies,closing ceremonies,Cocktail,Coupe glass,,,4.6,4.5,old,4
almond atholl brose,almond atholl brose,Cocktail,Coupe glass,,,4.57,4.5,dry,0
pegu club cocktail (difford's recipe),pegu club cocktail (difford's recipe),Cocktail,Coupe glass,,,4.55,4.5,dry,3
chocolate puff,chocolate puff,Cocktail,Old-fashioned glass,,,4.5,4.5,tangy,1
aku aku,aku aku,Cocktail,Coupe glass,,New Zealand,4.5,4.5,pineapple,5
bonnie prince charles,bonnie prince charles,Cocktail,Nick & Nora glass,,,4.5,4.5,aromatic,3
frisky bison,frisky bison,Cocktail,Martini glass,,Poland,4.5,4.5,herby,1
cadillac margarita (aka grand margarita),cadillac margarita (aka grand margarita),Cocktail,Coupe glass,,,4.5,4.5,earthy,5
juliette,juliette,Cocktail,Collins glass,,France,4.5,4.5,tangy,5
lotus cocktail,lotus cocktail,Cocktail,Martini glass,,Thailand,4.5,4.5,dry,1
mandarine sidecar,mandarine sidecar,Cocktail,Martini glass,,,4.5,4.5,aromatic,1
maria theresa margarita,maria theresa margarita,Cocktail,Coupe glass,,India,4.5,4.5,earthy,5
passbour cooler,passbour cooler,Cocktail,Collins glass,,Ireland,4.5,4.5,tangy,3
pear & cardamom sidecar,pear & cardamom sidecar,Cocktail,Coupe glass,Iowa,United States,4.5,4.5,aromatic,1
prince charlie,prince charlie,Cocktail,Coupe glass,,Scotland,4.5,4.5,aromatic,3
rude ginger cosmopolitan,rude ginger cosmopolitan,Cocktail,Martini glass,,,4.5,4.5,earthy,5
swamp water,swamp water,Cocktail,Coupe glass,Metropolitan France,France,4.5,4.5,pineapple,4
tennessee berry mule,tennessee berry mule,Cocktail,Collins glass,,,4.5,4.5,sweet,5
turquoise daiquiri,turquoise daiquiri,Cocktail,Coupe glass,,,4.5,4.5,dry,5
fairbanks no.1,fairbanks no.1,Cocktail,Coupe glass,,,4.5,4.5,dry,3
daiquiri authentico,daiquiri authentico,Cocktail,Martini glass,,,4.5,4.5,dry,5
salflower sour,salflower sour,Cocktail,Martini glass,,,4.5,4.5,fresh,1
serendipity (by colin field),serendipity (by colin field),Cocktail,Old-fashioned glass,Metropolitan France,France,4.5,4.5,fresh,1
fairy sugar mama,fairy sugar mama,Cocktail,Coupe glass,,France,4.5,4.5,pineapple,5
best friend,best friend,Cocktail,Collins glass,,,4.5,4.5,spicy,1
pineapple martini (1990s recipe),pineapple martini (1990s recipe),Cocktail,Martini glass,England,United Kingdom,4.5,4.5,spirity,1
aviazione,aviazione,Cocktail,Coupe glass,,Italy,4.5,4.5,fruity,1
kevin's oh gosh!,kevin's oh gosh!,Cocktail,Martini glass,,,4.5,4.5,Unknown,4
michael's millionaire,michael's millionaire,Cocktail,Coupe glass,,,4.5,4.5,malty,3
sour abby,sour abby,Cocktail,Coupe glass,,,4.5,4.5,herby,4
irmina's maria theresa margarita,irmina's maria theresa margarita,Cocktail,Coupe glass,,,4.5,4.5,mellow,5
spring feeling,spring feeling,Cocktail,Coupe glass,,,4.5,4.5,dry,3
tropical caipirinha,tropical caipirinha,Cocktail,Highball (max 10oz/300ml),,Brazil,4.45,4.5,watery,1
new york sour cocktail,new york sour cocktail,Cocktail,Old-fashioned glass,New York,United States,4.45,4.5,vanilla,1
eclipse cocktail (by leo robitschek),eclipse cocktail (by leo robitschek),Cocktail,Old-fashioned glass,Great Britain,United Kingdom,4.43,4.5,earthy,1
mai chérie,mai chérie,Cocktail,Old-fashioned glass,,,4.36,4.5,oaky,5
celery gin sour,celery gin sour,Cocktail,Old-fashioned glass,,,4.35,4.5,fresh,6
clover club,clover club,Cocktail,Coupe glass,,,4.35,4.5,aromatic,1
white lion (david embury's recipe),white lion (david embury's recipe),Cocktail,Coupe glass,Styria,Austria,4.33,4.5,dry,5
honey cobbler,honey cobbler,Cocktail,Goblet glass,,,4.33,4.5,dry,1
william's whiskey smash,william's whiskey smash,Cocktail,Old-fashioned glass,,,4.33,4.5,sweet,1
final ward 2,final ward 2,Cocktail,Coupe glass,,,4.33,4.5,malty,3
grand white lady,grand white lady,Cocktail,Coupe glass,,,4.3,4.5,dry,1
my lady,my lady,Cocktail,Coupe glass,,,4.3,4.5,aromatic,4
sunflower,sunflower,Cocktail,Coupe glass,New York,United States,4.27,4.5,dry,1
grzegorz's strawberry martini,grzegorz's strawberry martini,Cocktail,Coupe glass,,,4.27,4.5,whiskey,0
balalaika,balalaika,Cocktail,Martini glass,New Mexico,United States,4.25,4.5,spirity,1
lychee mac,lychee mac,Cocktail,Old-fashioned glass,,,4.25,4.5,dry,3
satan's whiskers (straight),satan's whiskers (straight),Cocktail,Coupe glass,Malawi,Malawi,4.25,4.5,dry,3
strawberry cosmo,strawberry cosmo,Cocktail,Martini glass,,,4.25,4.5,fresh,5
union club,union club,Cocktail,Martini glass,Central Luzon,Philippines,4.25,4.5,vanilla,5
relajese con facundo,relajese con facundo,Cocktail,Martini glass,,,4.25,4.5,dry,5
tart 'n' sand,tart 'n' sand,Cocktail,Coupe glass,,,4.25,4.5,syrupy,3
oceans 21,oceans 21,Cocktail,Coupe glass,,,4.2,4.5,tangy,3
boston flip,boston flip,Cocktail,Goblet glass,,,4.15,4.5,vanilla,3
dirty brooklyn,dirty brooklyn,Cocktail,Coupe glass,,,4.15,4.5,malty,4
rising sun cocktail,rising sun cocktail,Cocktail,Coupe glass,Indiana,United States,4.15,4.5,smokey,5
mint fizz,mint fizz,Cocktail,Collins glass,,,4.1,4.5,dry,1
four leaf clover,four leaf clover,Cocktail,Martini glass,,,4.1,4.5,dry,5
saturn,saturn,Cocktail,Sling glass,San Juan,Argentina,4.05,4.5,dry,5
union club cocktail,union club cocktail,Cocktail,Coupe glass,Central Luzon,Philippines,4.03,4.5,vanilla,3
bosom caresser,bosom caresser,Cocktail,Coupe glass,,,4.0,4.5,aromatic,3
dyevitchka,dyevitchka,Cocktail,Martini glass,,Russia,4.0,4.5,pineapple,5
ginger mojito,ginger mojito,Cocktail,Collins glass,,Africa,4.0,4.5,dry,1
